rare_species	clusters_with	longtitude	lattitude
Issoria lathonia	Gonepteryx rhamni	5.68351114808	52.0644193116
Issoria lathonia	Hesperia comma	5.81861369993	52.0596193703
Issoria lathonia	Hesperia comma	5.91667569838	52.0001747666
Issoria lathonia	Hipparchia semele	5.81861369993	52.0596193703
Issoria lathonia	Hipparchia semele	5.91667569838	52.0001747666
Issoria lathonia	Issoria lathonia	5.68351114808	52.0644193116
Issoria lathonia	Issoria lathonia	5.81861369993	52.0596193703
Issoria lathonia	Issoria lathonia	5.88298743591	52.2967642552
Issoria lathonia	Issoria lathonia	5.91667569838	52.0001747666
Issoria lathonia	Lanius collurio	5.81861369993	52.0596193703
Issoria lathonia	Lanius collurio	5.91667569838	52.0001747666
Issoria lathonia	Lanius excubitor	5.81861369993	52.0596193703
Issoria lathonia	Lanius excubitor	5.91667569838	52.0001747666
Issoria lathonia	Linaria cannabina	5.68351114808	52.0644193116
Issoria lathonia	Linaria cannabina	5.81861369993	52.0596193703
Issoria lathonia	Lophophanes cristatus	5.68351114808	52.0644193116
Issoria lathonia	Lophophanes cristatus	5.81861369993	52.0596193703
Issoria lathonia	Lophophanes cristatus	5.88298743591	52.2967642552
Issoria lathonia	Lophophanes cristatus	5.91667569838	52.0001747666
Issoria lathonia	Lullula arborea	5.68351114808	52.0644193116
Issoria lathonia	Lullula arborea	5.81861369993	52.0596193703
Issoria lathonia	Lullula arborea	5.88298743591	52.2967642552
Issoria lathonia	Lullula arborea	5.91667569838	52.0001747666
Issoria lathonia	Lycaena phlaeas	5.68351114808	52.0644193116
Issoria lathonia	Lycaena phlaeas	5.81861369993	52.0596193703
Issoria lathonia	Lycaena phlaeas	5.88298743591	52.2967642552
Issoria lathonia	Lycaena phlaeas	5.91667569838	52.0001747666
Issoria lathonia	Lycaena tityrus	5.68351114808	52.0644193116
Issoria lathonia	Lycaena tityrus	5.81861369993	52.0596193703
Issoria lathonia	Lycaena tityrus	5.91667569838	52.0001747666
Issoria lathonia	Maniola jurtina	5.68351114808	52.0644193116
Issoria lathonia	Maniola jurtina	5.81861369993	52.0596193703
Issoria lathonia	Maniola jurtina	5.91667569838	52.0001747666
Issoria lathonia	Melitaea athalia	5.81861369993	52.0596193703
Issoria lathonia	Melitaea athalia	5.88298743591	52.2967642552
Issoria lathonia	Melitaea athalia	5.91667569838	52.0001747666
Issoria lathonia	Muscicapa striata	5.81861369993	52.0596193703
Issoria lathonia	Muscicapa striata	5.88298743591	52.2967642552
Issoria lathonia	Ochlodes sylvanus	5.81861369993	52.0596193703
Issoria lathonia	Ochlodes sylvanus	5.91667569838	52.0001747666
Issoria lathonia	Oenanthe oenanthe	5.68351114808	52.0644193116
Issoria lathonia	Oenanthe oenanthe	5.81861369993	52.0596193703
Issoria lathonia	Pararge aegeria	5.68351114808	52.0644193116
Issoria lathonia	Pararge aegeria	5.88298743591	52.2967642552
Issoria lathonia	Pararge aegeria	5.91667569838	52.0001747666
Issoria lathonia	Parus major	5.68351114808	52.0644193116
Issoria lathonia	Parus major	5.88298743591	52.2967642552
Issoria lathonia	Parus major	5.91667569838	52.0001747666
Issoria lathonia	Passer montanus	5.68351114808	52.0644193116
Issoria lathonia	Passer montanus	5.81861369993	52.0596193703
Issoria lathonia	Periparus ater	5.68351114808	52.0644193116
Issoria lathonia	Periparus ater	5.88298743591	52.2967642552
Issoria lathonia	Periparus ater	5.91667569838	52.0001747666
Issoria lathonia	Pernis apivorus	5.68351114808	52.0644193116
Issoria lathonia	Pernis apivorus	5.81861369993	52.0596193703
Issoria lathonia	Pernis apivorus	5.88298743591	52.2967642552
Issoria lathonia	Pernis apivorus	5.91667569838	52.0001747666
Issoria lathonia	Phoenicurus phoenicurus	5.81861369993	52.0596193703
Issoria lathonia	Phoenicurus phoenicurus	5.88298743591	52.2967642552
Issoria lathonia	Phoenicurus phoenicurus	5.91667569838	52.0001747666
Issoria lathonia	Phylloscopus collybita	5.68351114808	52.0644193116
Issoria lathonia	Phylloscopus collybita	5.88298743591	52.2967642552
Issoria lathonia	Phylloscopus collybita	5.91667569838	52.0001747666
Issoria lathonia	Phylloscopus sibilatrix	5.81861369993	52.0596193703
Issoria lathonia	Phylloscopus sibilatrix	5.88298743591	52.2967642552
Issoria lathonia	Phylloscopus sibilatrix	5.91667569838	52.0001747666
Issoria lathonia	Phylloscopus trochilus	5.68351114808	52.0644193116
Issoria lathonia	Phylloscopus trochilus	5.81861369993	52.0596193703
Issoria lathonia	Picus viridis	5.68351114808	52.0644193116
Issoria lathonia	Pieris brassicae	5.68351114808	52.0644193116
Issoria lathonia	Pieris brassicae	5.88298743591	52.2967642552
Issoria lathonia	Pieris brassicae	5.91667569838	52.0001747666
Issoria lathonia	Pieris napi	5.68351114808	52.0644193116
Issoria lathonia	Pieris napi	5.81861369993	52.0596193703
Issoria lathonia	Pieris rapae	5.68351114808	52.0644193116
Issoria lathonia	Pieris rapae	5.81861369993	52.0596193703
Issoria lathonia	Plebejus argus	5.81861369993	52.0596193703
Issoria lathonia	Plebejus argus	5.91667569838	52.0001747666
Issoria lathonia	Poecile montanus	5.81861369993	52.0596193703
Issoria lathonia	Poecile palustris	5.68351114808	52.0644193116
Issoria lathonia	Poecile palustris	5.81861369993	52.0596193703
Issoria lathonia	Poecile palustris	5.88298743591	52.2967642552
Issoria lathonia	Poecile palustris	5.91667569838	52.0001747666
Issoria lathonia	Polygonia c-album	5.68351114808	52.0644193116
Issoria lathonia	Polygonia c-album	5.91667569838	52.0001747666
Issoria lathonia	Polyommatus icarus	5.68351114808	52.0644193116
Issoria lathonia	Polyommatus icarus	5.81861369993	52.0596193703
Issoria lathonia	Prunella modularis	5.68351114808	52.0644193116
Issoria lathonia	Prunella modularis	5.88298743591	52.2967642552
Issoria lathonia	Prunella modularis	5.91667569838	52.0001747666
Issoria lathonia	Regulus ignicapilla	5.68351114808	52.0644193116
Issoria lathonia	Regulus ignicapilla	5.88298743591	52.2967642552
Issoria lathonia	Regulus ignicapilla	5.91667569838	52.0001747666
Issoria lathonia	Regulus regulus	5.68351114808	52.0644193116
Issoria lathonia	Regulus regulus	5.81861369993	52.0596193703
Issoria lathonia	Saxicola rubetra	5.68351114808	52.0644193116
Issoria lathonia	Saxicola rubetra	5.91667569838	52.0001747666
Issoria lathonia	Saxicola rubicola	5.81861369993	52.0596193703
Issoria lathonia	Saxicola rubicola	5.91667569838	52.0001747666
Issoria lathonia	Scolopax rusticola	5.68351114808	52.0644193116
Issoria lathonia	Scolopax rusticola	5.88298743591	52.2967642552
Issoria lathonia	Scolopax rusticola	5.91667569838	52.0001747666
Issoria lathonia	Sitta europaea	5.68351114808	52.0644193116
Issoria lathonia	Streptopelia turtur	5.68351114808	52.0644193116
Issoria lathonia	Streptopelia turtur	5.81861369993	52.0596193703
Issoria lathonia	Streptopelia turtur	5.91667569838	52.0001747666
Issoria lathonia	Strix aluco	5.68351114808	52.0644193116
Issoria lathonia	Strix aluco	5.88298743591	52.2967642552
Issoria lathonia	Strix aluco	5.91667569838	52.0001747666
Issoria lathonia	Sturnus vulgaris	5.68351114808	52.0644193116
Issoria lathonia	Sturnus vulgaris	5.81861369993	52.0596193703
Issoria lathonia	Sylvia atricapilla	5.68351114808	52.0644193116
Issoria lathonia	Sylvia atricapilla	5.88298743591	52.2967642552
Issoria lathonia	Sylvia atricapilla	5.91667569838	52.0001747666
Issoria lathonia	Sylvia borin	5.81861369993	52.0596193703
Issoria lathonia	Sylvia borin	5.91667569838	52.0001747666
Issoria lathonia	Tachybaptus ruficollis	5.68351114808	52.0644193116
Issoria lathonia	Tachybaptus ruficollis	5.81861369993	52.0596193703
Issoria lathonia	Thymelicus lineola	5.81861369993	52.0596193703
Issoria lathonia	Thymelicus lineola	5.91667569838	52.0001747666
Issoria lathonia	Thymelicus sylvestris	5.81861369993	52.0596193703
Issoria lathonia	Thymelicus sylvestris	5.91667569838	52.0001747666
Issoria lathonia	Troglodytes troglodytes	5.81861369993	52.0596193703
Issoria lathonia	Turdus iliacus	5.68351114808	52.0644193116
Issoria lathonia	Turdus iliacus	5.88298743591	52.2967642552
Issoria lathonia	Turdus iliacus	5.91667569838	52.0001747666
Issoria lathonia	Turdus merula	5.68351114808	52.0644193116
Issoria lathonia	Turdus merula	5.81861369993	52.0596193703
Issoria lathonia	Turdus philomelos	5.68351114808	52.0644193116
Issoria lathonia	Turdus philomelos	5.88298743591	52.2967642552
Issoria lathonia	Turdus philomelos	5.91667569838	52.0001747666
Issoria lathonia	Turdus pilaris	5.68351114808	52.0644193116
Issoria lathonia	Turdus viscivorus	5.68351114808	52.0644193116
Issoria lathonia	Turdus viscivorus	5.88298743591	52.2967642552
Issoria lathonia	Turdus viscivorus	5.91667569838	52.0001747666
Issoria lathonia	Vanessa atalanta	5.68351114808	52.0644193116
Issoria lathonia	Vanessa atalanta	5.91667569838	52.0001747666
Issoria lathonia	Vanessa cardui	5.81861369993	52.0596193703
